feature_id	source_population_variance_log1p_cpm	source_mean_log1p_cpm	source_scale_log1p_cpm
CGAS	0.2720155715942383	2.016560920696149	0.5215511192211622
PLAG1	0.27193546295166016	1.8161095058780976	0.5214743227380978
MZB1	0.2717592120170593	1.424490863792741	0.5213052903543444
NAPRT	0.2714454233646393	2.949000796824123	0.5210042410616593
LINC00339	0.27138552069664	1.7352703274209837	0.5209467544321089
GNA15	0.2713148593902588	1.3311715862531772	0.5208789203168082
DNAH6	0.27117136120796204	1.22472456011964	0.5207411615022012
SLC16A4	0.2710234522819519	1.2196992273760026	0.5205991279611656
LDLR	0.2709857225418091	1.420111434783972	0.5205628785191584
KLF5	0.2708933353424072	1.115238242679172	0.5204741542275796
KLRB1	0.27075788378715515	5.500447169117544	0.5203440126053394
IFIH1	0.2704191505908966	2.3381056630291703	0.520018417534536
FXYD2	0.27029314637184143	1.5972051638753022	0.5198972568746452
ZNF844	0.26997146010398865	1.5148390357407573	0.5195877884444802
SYNM	0.2699624001979828	0.7862839435594748	0.519579068322267
NBL1	0.2698754072189331	1.4577239160336755	0.519495350915514
EIF3C	0.26964980363845825	1.2748520124232632	0.5192781573601202
FRY-AS1	0.2691255211830139	1.2160366644576135	0.5187730802766157
CCSAP	0.2689268887042999	1.4929127593835194	0.5185816064968976
FGFR1	0.268622487783432	1.2464589083788495	0.5182880300188749
TENM1	0.26845526695251465	0.9300821143776977	0.5181266948977776
ZNF708	0.2683287262916565	2.544198728155816	0.5180045521803022
ARHGAP11A	0.26823529601097107	0.9492701727083359	0.5179143783643126
GBP1	0.2676726281642914	3.3562877899842243	0.5173708713016368
CD8A	0.26766130328178406	2.6818225447702226	0.5173599396380956
KLF6	0.267593115568161	5.511079802823706	0.5172940450321415
PLK2	0.2675287425518036	0.9853429785747637	0.5172318067660744
GBP5	0.26744475960731506	3.1186551431129717	0.5171506037375933
GPRIN3	0.26741155982017517	3.046385454035353	0.5171185220675147
PLD4	0.26715534925460815	0.884715775762938	0.5168707357024447
TET1	0.26688557863235474	1.0790080666770423	0.5166096863568387
CAPN10-DT	0.26681914925575256	0.9653107270998059	0.5165454036710028
IGFBP4	0.2665726840496063	0.785610725996138	0.5163067741758095
SLC25A20	0.266508013010025	1.418633715574312	0.5162441417723834
CMTM8	0.266104519367218	2.7507267011993233	0.5158531879565579
ENKUR	0.2660461366176605	0.9679421012314801	0.5157965911615217
OPA3	0.2658322751522064	1.7696894877715128	0.5155892438378139
STRADA	0.265748530626297	0.9591718632371032	0.5155080423595619
BCKDHA	0.2656545042991638	1.0541874390680672	0.5154168356280553
ZNF100	0.2655870020389557	1.339921515106698	0.5153513499527053
NBPF1	0.2655348479747772	2.0046730623848137	0.5153007245011286
TREM1	0.2650532126426697	1.3054185199098112	0.5148331862761155
F5	0.2649424076080322	1.6618333261360154	0.5147255523107681
G0S2	0.26480168104171753	2.4693117835969303	0.5145888589791476
ERMN	0.26453647017478943	1.150289258851859	0.5143311036754346
TMEM156	0.2642178237438202	3.5328352693396967	0.5140212346092082
TRIM69	0.26398152112960815	2.5432499418770216	0.5137913298696286
RALGPS2	0.26371797919273376	2.03687259954511	0.5135347936949166
PRSS21	0.26290205121040344	0.8976864534433774	0.5127397535351121
CDCA7L	0.26279839873313904	2.452865072593835	0.5126386750598511
DUSP5	0.2627253234386444	1.9914063633173362	0.5125673834093785
AUTS2	0.26259613037109375	1.2199686046304374	0.5124413348036392
LINC01871	0.2619225084781647	3.6406658088567156	0.5117836545011013
DNLZ	0.26181313395500183	0.7728740403364445	0.5116767928705489
RAMP1	0.26167261600494385	0.8995286783496083	0.5115394480325616
HYOU1	0.2614329755306244	2.0658894889199413	0.5113051634488746
PF4	0.26068297028541565	3.6680611696279826	0.510571205573833
HBG2	0.2606563866138458	0.7135405620966835	0.5105451923519618
LINC00926	0.2603709399700165	1.2992521381697892	0.510265563467663
