gene	mean_case_log1p_cpm	mean_control_log1p_cpm	delta_case_minus_control	welch_t	welch_p	donor_variance	abs_delta
C4orf32	2.428946	2.2936525	0.13529348	1.431847	0.16918863	0.08008266	0.13529348
BOLA3-AS1	0.45861414	0.59388345	-0.13526931	-2.4015646	0.023426283	0.042854805	0.13526931
MIR24-2	4.451929	4.3166757	0.13525343	1.1651438	0.2539463	0.17246333	0.13525343
ZDHHC5	2.0675366	1.9323075	0.13522911	2.6049507	0.017724056	0.026911685	0.13522911
CREBRF	3.9422667	3.8070762	0.13519049	1.9782765	0.06293421	0.044558235	0.13519049
NOC4L	2.6549401	2.5197725	0.1351676	2.6054459	0.0135303335	0.043173634	0.1351676
UFM1	4.127998	3.9928305	0.13516736	3.0278404	0.0051254705	0.029530875	0.13516736
VARS2	1.7544885	1.6193253	0.13516319	1.6988181	0.107674785	0.053555258	0.13516319
TSEN54	3.4582074	3.5933702	-0.13516283	-1.6273772	0.1164231	0.08229532	0.13516283
PARP1	4.001385	4.136542	-0.13515663	-1.5145419	0.14051254	0.108928345	0.13515663
RASSF6	0.31931487	0.45444882	-0.13513395	-3.2896564	0.0025376603	0.026373217	0.13513395
AC024592.12	0.3233646	0.1882475	0.13511708	4.267838	0.00015384986	0.018083397	0.13511708
CAMK1D	2.88337	3.0184476	-0.13507771	-2.5446312	0.017537935	0.03599697	0.13507771
PPP1R10	3.153915	3.2889717	-0.13505673	-1.8647534	0.07850185	0.048402518	0.13505673
PRPSAP1	3.083869	3.2188842	-0.13501525	-2.9471977	0.006593216	0.029094664	0.13501525
BMP1	0.74483883	0.6098303	0.13500851	1.7633516	0.09783744	0.044072777	0.13500851
HMBS	2.3421054	2.2071111	0.13499427	1.7466267	0.09593995	0.060579907	0.13499427
PIGT	3.5857046	3.4507296	0.13497496	2.3235235	0.026672104	0.050962687	0.13497496
ATCAY	0.50527257	0.37030342	0.13496915	2.524736	0.015515155	0.05515491	0.13496915
AGAP5	0.87866354	0.74370104	0.1349625	2.2413535	0.032869175	0.05059392	0.1349625
AC022182.3	1.6416125	1.5066708	0.1349417	1.0550942	0.30445197	0.15281543	0.1349417
RP11-65L3.4	0.45938715	0.3244463	0.13494086	3.194918	0.0038359223	0.02376491	0.13494086
PLCG1	2.298616	2.4335546	-0.13493872	-1.488921	0.15025169	0.09132364	0.13493872
ARIH2OS	2.2423494	2.3772478	-0.13489842	-2.340401	0.03147915	0.030496301	0.13489842
SPOCK2	4.4140596	4.548951	-0.13489151	-1.971379	0.05621648	0.07761794	0.13489151
SMYD3	2.3401556	2.4749773	-0.13482165	-3.058611	0.004684986	0.029259747	0.13482165
AL592183.1	3.9801705	4.1149898	-0.13481927	-0.8084812	0.42872798	0.25652304	0.13481927
MYL12A	6.7378936	6.603111	0.13478279	1.7902567	0.0886244	0.05707935	0.13478279
TJP3	1.1598133	1.2945733	-0.13476002	-1.2735372	0.21902338	0.0986954	0.13476002
EIF1AD	2.7060432	2.5713198	0.13472342	2.2301586	0.035026304	0.04551352	0.13472342
CPS1	0.30789366	0.17317963	0.13471404	3.2972302	0.0023685629	0.027285278	0.13471404
AKR1B1	3.8256228	3.9603212	-0.13469839	-2.1546588	0.040422123	0.051077463	0.13469839
PDSS2	2.410478	2.2757826	0.13469553	3.9958024	0.0005930865	0.015465983	0.13469553
RP5-1029F21.3	0.19863799	0.06395977	0.13467821	2.9479578	0.005205234	0.044068284	0.13467821
RP11-519G16.3	0.2631822	0.12850852	0.13467367	2.8735049	0.0064268373	0.042160187	0.13467367
CLEC2B	4.9556894	4.821048	0.13464165	1.9999659	0.055187207	0.06147902	0.13464165
TRIM59	2.0608618	1.9262806	0.13458121	1.5845492	0.12745422	0.07784911	0.13458121
IDI1	4.276479	4.1419544	0.13452435	1.561338	0.1330346	0.07901757	0.13452435
TUSC1	0.34297633	0.47746274	-0.1344864	-1.9061925	0.0789141	0.030109543	0.1344864
SLC25A6	6.6785827	6.8130665	-0.13448381	-3.6985383	0.00065874855	0.025901	0.13448381
UCK2	1.3180335	1.183558	0.13447547	1.5096884	0.14271554	0.10149827	0.13447547
HIST1H2BF	0.2937414	0.15931426	0.13442715	2.7475317	0.010463647	0.033470843	0.13442715
DR1	3.8917124	3.757299	0.13441348	2.35844	0.028390968	0.035005476	0.13441348
TCTE3	0.10084306	0.23523392	-0.13439086	-1.5058101	0.16084862	0.030321924	0.13439086
ANKRD26	2.370966	2.5053103	-0.13434434	-2.1615825	0.040507533	0.047940046	0.13434434
ZNF443	0.56314784	0.6974618	-0.13431394	-1.932131	0.06970651	0.043223	0.13431394
FAM213B	1.8489674	1.9832661	-0.13429868	-2.156982	0.038735494	0.05744604	0.13429868
P4HA1	2.6360219	2.5017493	0.13427258	2.252783	0.032901067	0.04611801	0.13427258
SLC39A14	0.700833	0.8350926	-0.13425958	-1.916884	0.070187084	0.048359085	0.13425958
MED19	3.0736802	3.2079012	-0.13422108	-2.9003596	0.006427555	0.035628647	0.13422108
FZD2	0.7473424	0.6131462	0.13419622	1.6042603	0.11848341	0.10198242	0.13419622
ZNF366	0.26791757	0.13376811	0.13414946	4.096916	0.00018718421	0.023802377	0.13414946
METTL5	3.6550045	3.789139	-0.13413453	-2.2564929	0.034653306	0.03911707	0.13413453
SGPL1	2.472719	2.3386157	0.1341033	1.4353566	0.16602434	0.08968086	0.1341033
MAPKAPK2	3.0233908	2.8893201	0.13407063	1.8660625	0.074928544	0.058869984	0.13407063
ANKRD35	0.5632756	0.42921075	0.13406482	2.5084226	0.018190224	0.03973197	0.13406482
CNTRL	3.6362584	3.502242	0.13401628	3.1240728	0.0040443162	0.027325977	0.13401628
RP11-446E9.2	0.3710203	0.23702739	0.1339929	3.62478	0.0008088343	0.026931584	0.1339929
ZMAT5	2.9753647	2.8414094	0.13395524	2.43388	0.02020294	0.049126275	0.13395524
GPRASP1	1.2377625	1.3717124	-0.13395	-1.6515276	0.10966395	0.08777955	0.13395
COL9A2	1.4186039	1.2846539	0.13395	2.0441303	0.047283664	0.08321893	0.13395
ARHGAP5-AS1	0.4619515	0.5958712	-0.13391972	-2.2775898	0.035701793	0.03156252	0.13391972
HIST1H2AB	0.30810148	0.17418508	0.1339164	3.893342	0.00035942096	0.024320686	0.1339164
REPIN1	3.2652092	3.3991072	-0.13389802	-1.5625662	0.13331865	0.0754915	0.13389802
MARCH10	0.24444205	0.3783284	-0.13388637	-2.183591	0.04656748	0.026131937	0.13388637
FGD3	3.9384382	4.0722947	-0.13385653	-2.696214	0.010611298	0.04151173	0.13385653
USP39	2.9119787	2.778124	0.13385463	2.1251907	0.044612817	0.046023272	0.13385463
RDH14	3.1324828	3.2663276	-0.13384485	-1.9781505	0.06573196	0.036372557	0.13384485
UBE2H	3.151542	3.0177038	0.13383818	2.7083344	0.011758966	0.03283421	0.13383818
TFR2	0.86196893	0.7281361	0.13383281	2.2693357	0.032186523	0.043565627	0.13383281
PIGM	1.5624344	1.428689	0.13374543	2.054308	0.050115094	0.054211713	0.13374543
LINC00656	0.2380713	0.10434521	0.13372609	3.306991	0.0020237612	0.030973567	0.13372609
RP11-66N11.8	1.8860013	1.7522838	0.13371754	2.604562	0.012705194	0.051829934	0.13371754
LLGL2	2.027684	2.1613727	-0.13368869	-1.2185515	0.23690403	0.12004884	0.13368869
EBF4	0.23312438	0.3667926	-0.13366821	-2.4703605	0.02294546	0.030324575	0.13366821
RP11-686D22.4	0.29264596	0.15901259	0.13363338	3.2030742	0.003174355	0.027050072	0.13363338
EPHB1	0.2819536	0.41555214	-0.13359854	-1.7038633	0.10990266	0.0423891	0.13359854
ZC3H7B	2.1943505	2.060766	0.1335845	2.507975	0.018776594	0.037149705	0.1335845
ACTL6A	2.420777	2.5543513	-0.13357425	-1.4033927	0.17149477	0.11840948	0.13357425
CBWD6	2.5228128	2.3892407	0.1335721	1.1946384	0.24523504	0.13062584	0.1335721
BRICD5	1.0147936	0.8812647	0.13352895	3.1166298	0.0035469367	0.032325067	0.13352895
CTD-2342J14.6	0.30794665	0.1744187	0.13352795	4.073806	0.00024285127	0.020070596	0.13352795
EWSR1	4.5141716	4.3806534	0.13351822	2.0253274	0.052177615	0.059874877	0.13351822
LTBP1	0.34578833	0.2123013	0.13348703	1.9707716	0.059074372	0.060045984	0.13348703
HOXB2	2.5266201	2.6600428	-0.13342261	-0.8939193	0.3820544	0.21372642	0.13342261
ANP32E	3.9564395	3.8230429	0.13339663	2.1935248	0.036479343	0.051470198	0.13339663
ARHGAP23	0.16439472	0.031000072	0.13339464	5.8183584	7.375868e-07	0.01393118	0.13339464
KRBA2	0.73622	0.8695826	-0.13336259	-1.5789509	0.13398351	0.055772	0.13336259
RP5-1142A6.8	0.54021233	0.40690696	0.13330537	2.1995502	0.03989422	0.037918296	0.13330537
TBX19	0.8513842	0.7180916	0.13329262	2.6745503	0.011879648	0.03729584	0.13329262
DCUN1D1	2.8745615	2.7413213	0.13324022	2.2725546	0.03555358	0.032604314	0.13324022
LZTS3	0.6215127	0.75474685	-0.13323414	-1.8703861	0.07229744	0.06604898	0.13323414
SNHG18	0.13376772	0.266977	-0.13320929	-2.9969482	0.009008627	0.016785767	0.13320929
AC062017.1	1.7385545	1.6053753	0.13317919	1.941171	0.06801593	0.043538548	0.13317919
MEGF6	1.033956	1.1671332	-0.13317716	-1.5918039	0.12542358	0.077380896	0.13317716
HNRNPH1	5.196381	5.0632224	0.13315868	1.7082595	0.10139618	0.06759867	0.13315868
CTD-2215E18.1	0.3012497	0.4343915	-0.13314179	-2.6196196	0.014020131	0.03635339	0.13314179
RBPJ	3.8461895	3.7130957	0.13309383	3.032951	0.004690436	0.031188274	0.13309383
RABL5	1.4821044	1.6151562	-0.13305175	-2.3837006	0.025840292	0.03686293	0.13305175
C1RL-AS1	1.2985071	1.1654639	0.13304317	1.357809	0.19596134	0.061867364	0.13304317
SRSF1	4.0195503	3.8865175	0.1330328	3.0577562	0.003938409	0.043325678	0.1330328
RPS28	8.574541	8.707566	-0.13302517	-3.1523218	0.0039602052	0.02525516	0.13302517
C1QTNF6	0.9048978	1.0379051	-0.13300729	-1.6366211	0.12257759	0.0477657	0.13300729
NAB1	2.0386574	1.9056541	0.13300335	2.5059972	0.019531224	0.034488548	0.13300335
NRIP3	0.74463046	0.8775957	-0.13296527	-1.1235182	0.27085152	0.1798282	0.13296527
COG3	2.7242167	2.5912898	0.13292694	1.8641716	0.07333079	0.06554783	0.13292694
KLHDC10	1.9963984	1.8635507	0.13284779	2.9056807	0.0070257187	0.030231822	0.13284779
TAB2	3.1481712	3.0153434	0.13282776	2.2601275	0.036950726	0.03152091	0.13282776
ARHGAP17	2.747262	2.614447	0.13281488	2.209071	0.032967005	0.06555079	0.13281488
IL24	0.5596405	0.42683947	0.13280106	1.5444144	0.13940957	0.0682014	0.13280106
INTS1	2.2990456	2.1662567	0.1327889	3.1923873	0.0032599298	0.026893308	0.1327889
AURKAIP1	4.7853346	4.652551	0.13278341	3.0225048	0.004806884	0.03133089	0.13278341
NPLOC4	2.7178416	2.5850735	0.13276815	2.3220074	0.030315008	0.036061686	0.13276815
SLC4A1	0.21973309	0.08696615	0.13276693	1.6196814	0.1128992	0.12545297	0.13276693
AC090616.2	0.20026922	0.06754246	0.13272676	5.336498	5.4114985e-06	0.012933534	0.13272676
CD1A	0.6584992	0.5257854	0.1327138	1.855509	0.07251093	0.076944284	0.1327138
BNIP2	4.2856674	4.1529727	0.13269472	1.7935048	0.086006746	0.062696636	0.13269472
TSIX	1.2093407	1.0766686	0.13267207	0.7826792	0.44404742	0.24609886	0.13267207
RP11-448A19.1	1.3834281	1.2507617	0.13266635	2.0309072	0.05593867	0.043397196	0.13266635
RP11-195F19.9	0.32914788	0.19648252	0.13266535	3.4060502	0.0015277333	0.029076852	0.13266535
C19orf73	1.0262809	1.1589406	-0.13265967	-3.2772408	0.0028660442	0.023697142	0.13265967
SLC35B1	3.1481895	3.0155504	0.13263917	2.15057	0.038541563	0.060633216	0.13263917
CXorf24	1.4025242	1.5351498	-0.13262558	-3.286558	0.0026222935	0.024902765	0.13262558
TRIM2	0.42557207	0.55818254	-0.13261047	-2.1051679	0.051682785	0.032062963	0.13261047
ATF6	3.2279534	3.0953438	0.1326096	3.5723104	0.0012184045	0.021827316	0.1326096
YIPF4	3.9319503	3.7993467	0.13260365	1.9530648	0.060058676	0.06581493	0.13260365
LEPR	0.78081125	0.64821076	0.13260049	2.007098	0.059445832	0.04196427	0.13260049
AC000068.5	0.34788606	0.48047513	-0.13258907	-2.2810829	0.037740864	0.025824316	0.13258907
RP11-498C9.15	0.900226	1.0328135	-0.13258755	-3.1780612	0.0039144773	0.023586499	0.13258755
CLK2	1.8380778	1.7054932	0.13258457	2.1484754	0.040316354	0.05236946	0.13258457
CASS4	1.1499629	1.2825443	-0.13258135	-1.6095545	0.116909064	0.10218701	0.13258135
SPDYE2	0.9348812	1.067457	-0.13257575	-0.6115915	0.5492192	0.35967195	0.13257575
RP1-111C20.4	0.7253662	0.592814	0.13255215	2.3269088	0.031186495	0.032596488	0.13255215
PDSS1	1.6394972	1.5069795	0.1325177	2.8692698	0.007634435	0.031007336	0.1325177
FLOT2	3.5936067	3.4611037	0.13250303	2.432379	0.020347314	0.047643486	0.13250303
KMT2D	2.346244	2.2137918	0.13245225	2.9240165	0.007278447	0.02699442	0.13245225
RP4-666F24.3	0.4624433	0.5948669	-0.13242358	-2.1881478	0.043023165	0.032247715	0.13242358
KLF16	1.961173	1.8287743	0.13239872	1.883924	0.06894583	0.07143318	0.13239872
PDK1	3.0126033	3.144999	-0.13239574	-1.6765646	0.10712711	0.07091821	0.13239574
IFT172	0.84102	0.9734041	-0.13238412	-2.380696	0.02755291	0.03213394	0.13238412
TMEM38A	0.83152527	0.69922704	0.13229823	2.141332	0.04301099	0.044789627	0.13229823
TRRAP	2.0264275	1.894148	0.13227952	3.1914525	0.0032013084	0.027247947	0.13227952
MED25	2.8286688	2.6963992	0.13226962	2.5899386	0.013449196	0.04673091	0.13226962
TYW5	2.1428359	2.0105667	0.13226914	3.336406	0.0026482572	0.021618787	0.13226914
KATNBL1	3.2751608	3.407387	-0.13222623	-3.023972	0.0058235317	0.024949318	0.13222623
BLOC1S6	3.4240043	3.291851	0.13215327	2.4923453	0.017376281	0.047328576	0.13215327
PRR7	3.1940172	3.3261487	-0.13213158	-1.8021922	0.07936106	0.091873355	0.13213158
LINC01013	0.6903529	0.822455	-0.13210207	-1.015809	0.3174695	0.23835777	0.13210207
AC132192.1	0.44596502	0.31386396	0.13210106	4.10136	0.00056102715	0.013136575	0.13210106
DHX34	1.8411185	1.709061	0.13205743	2.504277	0.016805017	0.047500733	0.13205743
POR	2.8498967	2.7178774	0.13201928	2.2652705	0.032774664	0.04149524	0.13201928
RBFA	2.5468063	2.678798	-0.13199162	-3.7805202	0.0005113581	0.024361841	0.13199162
TAF6L	2.3848717	2.2528822	0.13198948	2.6019604	0.013038077	0.046335224	0.13198948
ZNF141	1.8982341	2.0302122	-0.13197803	-1.3770308	0.18510388	0.08292107	0.13197803
PTGS2	1.8652706	1.997232	-0.13196135	-0.77619076	0.4435432	0.3991192	0.13196135
ACYP1	2.9979026	2.865949	0.13195372	3.1658762	0.0028892828	0.035443343	0.13195372
DSCC1	0.5378256	0.4058824	0.1319432	1.8627802	0.06974908	0.1091697	0.1319432
AF131217.1	0.6360985	0.50416464	0.13193387	1.8863428	0.07085827	0.06028648	0.13193387
SUGP2	3.0412781	2.909374	0.13190413	3.2018936	0.0034382085	0.024557438	0.13190413
BCAR3	0.51399684	0.38215646	0.13184038	1.8492959	0.071468756	0.099963136	0.13184038
XK	0.2673118	0.13548565	0.13182616	2.3923404	0.021392928	0.06614326	0.13182616
SYN1	0.40124023	0.26945633	0.1317839	2.5056973	0.01784103	0.04055351	0.1317839
NTMT1	3.213037	3.0813055	0.13173151	2.6762831	0.012191871	0.034583326	0.13173151
ANKS6	0.5887522	0.7204825	-0.13173032	-2.9611185	0.006179847	0.028470123	0.13173032
MRAS	1.0155469	0.8838346	0.13171232	1.465212	0.15320846	0.11202902	0.13171232
HIST1H4K	0.27793485	0.1462312	0.13170364	3.0844297	0.0037920633	0.032988694	0.13170364
ENTPD4	2.8291202	2.6974773	0.13164282	3.2029753	0.005059435	0.0172571	0.13164282
DPM3	3.9006407	3.7690163	0.13162446	3.7038794	0.0011448419	0.017173836	0.13162446
RP11-505P4.6	0.23811391	0.36969006	-0.13157615	-2.0777562	0.05595299	0.029028868	0.13157615
PAN3	3.5726187	3.4410486	0.1315701	1.3713373	0.18442312	0.09688438	0.1315701
RP11-112J3.16	0.9296292	0.79806006	0.13156915	1.6540402	0.11177963	0.07134781	0.13156915
PTPRCAP	6.163172	6.2947283	-0.13155651	-2.090153	0.042888775	0.073313415	0.13155651
ZNF140	1.7734865	1.9050423	-0.1315558	-1.3883597	0.18055047	0.08715591	0.1315558
VEGFB	1.9146969	2.0462387	-0.13154173	-3.077013	0.0053285724	0.02306927	0.13154173
TIMM13	4.464926	4.3334017	0.13152409	3.446741	0.0016130346	0.02376381	0.13152409
RP11-160E2.19	0.410936	0.5424526	-0.13151658	-1.9810761	0.056039296	0.06647111	0.13151658
PLEKHG3	1.9750642	2.1065557	-0.13149154	-0.8550356	0.40476194	0.18500768	0.13149154
FSTL3	1.0754359	0.94394684	0.13148904	1.6938279	0.10478524	0.06441881	0.13148904
TIPARP-AS1	1.8204626	1.6889843	0.13147831	2.2114472	0.039269555	0.035656005	0.13147831
FASTKD1	2.0500512	1.9185843	0.13146687	2.0581415	0.051189505	0.04704459	0.13146687
VAMP2	5.669505	5.8009715	-0.13146639	-2.5624378	0.014834018	0.043282554	0.13146639
MTRNR2L8	3.059219	2.9278252	0.13139367	0.8156542	0.4249487	0.23365226	0.13139367
PPP2R4	2.9248595	2.7935133	0.13134623	2.0283363	0.05208338	0.056761455	0.13134623
FRMD8	3.1101549	2.9788184	0.13133645	2.2321017	0.035204206	0.042099234	0.13133645
CACNA1A	0.8370994	0.70577484	0.13132453	1.4376965	0.15981527	0.12492872	0.13132453
C21orf49	1.0804024	1.2117002	-0.13129783	-1.9707468	0.061393633	0.04963515	0.13129783
GCC1	2.2332485	2.1019516	0.13129687	1.5110276	0.14640562	0.07504921	0.13129687
SAMD4B	2.8482127	2.7169194	0.1312933	2.2801332	0.029775998	0.048175022	0.1312933
ZNF395	1.877581	2.008842	-0.13126099	-3.2032237	0.0027307032	0.030952184	0.13126099
HIST2H4A	0.23774266	0.10651245	0.1312302	3.478834	0.0014125061	0.02415078	0.1312302
AGPAT6	2.8659923	2.7347643	0.13122797	2.4795172	0.021284645	0.032433618	0.13122797
EMR1	2.1081057	1.9768863	0.13121939	1.1951334	0.24433117	0.13243392	0.13121939
IFI27L1	2.1396105	2.0083916	0.13121891	1.335976	0.18876827	0.19409557	0.13121891
CAPN15	2.2974513	2.16624	0.13121128	1.3621582	0.19103268	0.07659168	0.13121128
MTPAP	2.5861013	2.4548986	0.1312027	2.4504573	0.02124398	0.037855227	0.1312027
SLAMF7	2.6129968	2.4817975	0.13119936	0.9544405	0.34578913	0.31640935	0.13119936
BEX4	3.5828152	3.71399	-0.1311748	-2.0842419	0.05212137	0.03582234	0.1311748
PDCD4	4.464682	4.595853	-0.13117075	-2.0184557	0.058856256	0.03878924	0.13117075
C16orf13	4.3892713	4.258125	0.13114643	3.602028	0.0014662498	0.017883949	0.13114643
TRAF3IP3	5.223709	5.35482	-0.13111067	-1.8465171	0.07275887	0.08397494	0.13111067
CREB3L2	2.648349	2.5172787	0.13107038	2.174658	0.03750278	0.05274144	0.13107038
MYO15B	2.2161634	2.085135	0.13102841	1.2803944	0.2142481	0.10835743	0.13102841
PNPLA4	2.0884833	2.219486	-0.13100266	-2.284403	0.029222354	0.04910458	0.13100266
PPP1R15A	5.838295	5.7073183	0.13097668	1.4426112	0.15787594	0.12974164	0.13097668
FBF1	1.6368866	1.7678276	-0.13094103	-1.5436361	0.14240496	0.055706713	0.13094103
GLTPD1	2.3878808	2.5187805	-0.13089967	-1.2287753	0.23363005	0.109424986	0.13089967
ASNSD1	3.2835615	3.4144402	-0.13087869	-2.104336	0.0474862	0.042018	0.13087869
FAM89B	3.352245	3.4830873	-0.13084221	-1.1014864	0.28639567	0.112390794	0.13084221
PPP2CA	4.261235	4.130496	0.13073921	1.9005936	0.06717227	0.06581079	0.13073921
Y_RNA	0.947479	0.8167586	0.13072044	2.3779116	0.023143975	0.0481187	0.13072044
NUP62	2.9451773	2.8144681	0.13070917	1.8444618	0.07566791	0.06727505	0.13070917
RNF216	3.2647321	3.3954117	-0.1306796	-2.8831294	0.0075051785	0.02925417	0.1306796
AC018755.1	1.0311542	0.9004812	0.13067293	2.131518	0.04169522	0.05209944	0.13067293
MMP7	0.014728104	0.145367	-0.1306389	-1.175953	0.26674703	0.03537483	0.1306389
CERS6	2.650994	2.5203695	0.13062453	2.3932626	0.025883304	0.033581737	0.13062453
ST20	1.9219182	1.7912941	0.13062406	1.6466818	0.11358751	0.06967178	0.13062406
ATXN7L3B	3.1236675	3.254283	-0.13061547	-2.530036	0.021091297	0.02560506	0.13061547
NR1I3	0.44254676	0.31193265	0.1306141	2.772987	0.008771947	0.03740758	0.1306141
PWP2	2.15491	2.2854586	-0.13054848	-1.9377317	0.06439755	0.054531448	0.13054848
CTD-2377D24.6	0.17278686	0.042251557	0.1305353	4.0223503	0.00023679638	0.022798918	0.1305353
ZDHHC6	3.3376935	3.2071822	0.13051128	2.6011295	0.015662508	0.031483747	0.13051128
AP001258.4	1.3873868	1.2569098	0.13047695	1.7611964	0.08753988	0.08197577	0.13047695
IBTK	2.9325922	2.8021193	0.1304729	3.5076199	0.0016181042	0.020196944	0.1304729
ARL17A	2.0442653	2.1747308	-0.13046551	-0.78384674	0.43915966	0.37983918	0.13046551
SPATC1L	2.056158	1.9256946	0.13046348	0.4382303	0.66712147	0.6505713	0.13046348
NUTM2A-AS1	3.406661	3.2761993	0.1304617	2.218345	0.037225574	0.038999405	0.1304617
ST6GALNAC6	2.921249	3.0517082	-0.13045931	-1.3969388	0.17225079	0.12405734	0.13045931
DHX15	3.3538811	3.223469	0.1304121	2.5602634	0.018300904	0.028882565	0.1304121
CCL23	0.22473434	0.09434278	0.13039155	3.354562	0.0021768955	0.023413988	0.13039155
TBC1D1	3.395074	3.2647135	0.13036036	2.919021	0.0056919847	0.03857873	0.13036036
C2orf40	1.0633743	1.1936107	-0.13023639	-0.9705519	0.34383756	0.16731206	0.13023639
PLCE1	1.673765	1.5436372	0.13012779	1.5589571	0.13396707	0.07250082	0.13012779
AL139099.1	0.98064584	1.1107684	-0.1301226	-1.8648564	0.08350629	0.032325916	0.1301226
C6orf89	3.002955	2.872852	0.13010287	2.9476535	0.0076809786	0.022650478	0.13010287
RP11-791G15.2	0.28374594	0.4137936	-0.13004765	-1.6847298	0.11571484	0.035401605	0.13004765
DUSP4	1.9266905	1.7967327	0.1299578	0.9736522	0.3360743	0.31051585	0.1299578
HIAT1	3.3380966	3.2081518	0.1299448	1.4741288	0.15373681	0.08865846	0.1299448
TEAD2	0.17301236	0.3029357	-0.12992333	-2.445011	0.028614312	0.019824209	0.12992333
FCHSD2	2.6234632	2.49354	0.1299231	2.358105	0.023419676	0.054625254	0.1299231
MARK2	2.7412333	2.8711193	-0.12988591	-2.530136	0.018603832	0.0320281	0.12988591
RBM43	2.3327627	2.2028913	0.12987137	1.1539464	0.26580557	0.09420099	0.12987137
TUBG1	1.7157078	1.5858461	0.12986171	1.3926427	0.1710917	0.17685911	0.12986171
GP1BA	1.2665424	1.1366855	0.12985694	0.9793795	0.340377	0.15262079	0.12985694
FBXO15	0.32025424	0.45010862	-0.12985438	-2.732646	0.014326285	0.02084783	0.12985438
RDM1	0.34473532	0.21489452	0.1298408	2.7183237	0.009570034	0.050597385	0.1298408
COX11	3.581529	3.7113671	-0.12983823	-2.6442633	0.013437952	0.033115663	0.12983823
GAN	2.227799	2.3576224	-0.12982345	-1.4018723	0.18190032	0.05864965	0.12982345
PAK4	1.6034468	1.7332524	-0.12980556	-2.4759073	0.018724188	0.042173307	0.12980556
RP5-886K2.3	1.5538747	1.6836555	-0.12978077	-1.812643	0.0837792	0.055698313	0.12978077
GLI1	0.38307965	0.51278126	-0.12970161	-1.648181	0.12338026	0.035884008	0.12970161
YIF1A	3.580105	3.4504075	0.12969756	2.0317326	0.050073944	0.06331744	0.12969756
DHCR7	1.6637475	1.7934436	-0.12969601	-2.0851133	0.045107648	0.057777636	0.12969601
RP11-379K17.12	1.2292569	1.0995696	0.12968731	0.96911	0.3509633	0.090464905	0.12968731
ZNF217	2.4018016	2.2721224	0.1296792	1.8320513	0.08475095	0.042476676	0.1296792
PHC1	1.9158219	2.0454977	-0.12967575	-2.1083424	0.049655087	0.03447353	0.12967575
SIN3B	2.1519065	2.0222547	0.12965178	2.3309805	0.027563658	0.041033804	0.12965178
CTTN	1.0314918	0.901848	0.12964374	0.99919814	0.324805	0.25058374	0.12964374
NFYB	2.557369	2.686998	-0.1296289	-1.7097701	0.1029164	0.05731035	0.1296289
RP11-867G23.8	0.75171787	0.8812904	-0.12957251	-2.6351821	0.01374525	0.033107974	0.12957251
RP11-169K16.9	2.8059454	2.9354837	-0.1295383	-2.9401445	0.008342085	0.02088883	0.1295383
XKR6	0.87576187	0.7462321	0.12952977	2.267226	0.031820636	0.042654417	0.12952977
AC123768.4	0.4251157	0.29560575	0.12950996	2.656524	0.015128452	0.025837265	0.12950996
MBLAC2	0.8716303	1.0011281	-0.12949777	-2.6257203	0.013359154	0.036385946	0.12949777
PPM1A	3.4266758	3.297181	0.1294949	2.7161765	0.011508901	0.030723142	0.1294949
GANC	1.8124751	1.6829848	0.12949026	2.1027994	0.04237889	0.06315654	0.12949026
TRIM65	2.109014	2.2384987	-0.12948465	-1.8758645	0.072629355	0.057572342	0.12948465
YWHAQ	4.8716264	4.742164	0.12946224	1.6715212	0.10811839	0.06824454	0.12946224
ARHGEF37	1.5113846	1.6408352	-0.12945056	-1.6583256	0.11662488	0.048459798	0.12945056
RP11-434B12.1	0.38570434	0.25627574	0.1294286	3.2020826	0.0030067475	0.026874335	0.1294286
DZIP3	2.4778652	2.6072931	-0.12942791	-1.8848414	0.0745318	0.046596758	0.12942791
NOL9	2.5202796	2.6496656	-0.12938595	-1.6422678	0.11694989	0.059257835	0.12938595
CABLES2	0.7003801	0.5710092	0.12937087	2.5608025	0.015546746	0.038205437	0.12937087
CTD-2162K18.3	0.26304123	0.13371004	0.12933119	3.306118	0.002542064	0.023056738	0.12933119
ZC3H14	2.537212	2.6665344	-0.12932253	-2.0459309	0.05629362	0.0356217	0.12932253
TLE4	4.4450974	4.574388	-0.12929058	-1.5817963	0.12945296	0.06634013	0.12929058
KLHL17	0.77621967	0.6469293	0.12929034	2.673431	0.01323033	0.029623175	0.12929034
ACSF2	1.6689556	1.5396718	0.12928379	2.067056	0.045653373	0.06633803	0.12928379
RP11-665G4.1	0.20707183	0.077819206	0.12925261	4.8626766	1.7990109e-05	0.0155211	0.12925261
COMMD5	3.0224433	2.893232	0.12921119	1.7836486	0.08560601	0.06849267	0.12921119
CLEC17A	0.5164307	0.6456112	-0.12918055	-1.7582214	0.08600538	0.10563673	0.12918055
FNTA	3.8666928	3.9958544	-0.1291616	-1.735191	0.0982573	0.055238158	0.1291616
IDO1	0.50445634	0.37531853	0.12913781	1.1124806	0.27793345	0.14322369	0.12913781
PRMT6	1.6365306	1.7656655	-0.1291349	-1.2596684	0.22388165	0.09250866	0.1291349
MRPS16	3.6311767	3.5020437	0.12913299	2.311898	0.026394922	0.053188164	0.12913299
VDAC1	4.3568554	4.22773	0.1291256	2.2632697	0.032383423	0.041515943	0.1291256
