dataset_id	repeat	split_seed	method	roc_auc	pr_auc	brier
SLE_GSE174188_CD4	20	20260820	Mean-HVG pseudobulk	0.9845367252774662	0.990672542719343	0.0715621529415996
SLE_GSE174188_CD4	20	20260820	PCA pseudobulk	0.9630253148771668	0.9802730650430592	0.148516447502384
SLE_GSE285773_CD4	1	20260801	Frozen Geneformer	0.78125	0.8963064713064713	0.2369078227135506
SLE_GSE285773_CD4	1	20260801	Mean-HVG pseudobulk	0.8625	0.9255768794758732	0.1576381900966591
SLE_GSE285773_CD4	1	20260801	PCA pseudobulk	0.6250000000000001	0.747213087246655	0.2880312191499478
SLE_GSE285773_CD4	2	20260802	Frozen Geneformer	0.8125	0.899016443662005	0.2141779191718166
SLE_GSE285773_CD4	2	20260802	Mean-HVG pseudobulk	0.8562500000000001	0.9305837218337218	0.1696279307195939
SLE_GSE285773_CD4	2	20260802	PCA pseudobulk	0.85	0.9203894420086876	0.1994132047556965
SLE_GSE285773_CD4	3	20260803	Frozen Geneformer	0.9375	0.9684410584886128	0.1825501275640344
SLE_GSE285773_CD4	3	20260803	Mean-HVG pseudobulk	0.975	0.985702614379085	0.1380040638438668
SLE_GSE285773_CD4	3	20260803	PCA pseudobulk	0.9375	0.9654893207282912	0.1126331736097964
SLE_GSE285773_CD4	4	20260804	Frozen Geneformer	0.89375	0.9450722043680172	0.2078565645042455
SLE_GSE285773_CD4	4	20260804	Mean-HVG pseudobulk	0.8437499999999999	0.9246398256348914	0.1929922491007079
SLE_GSE285773_CD4	4	20260804	PCA pseudobulk	0.90625	0.9569252305665348	0.1654854361771756
SLE_GSE285773_CD4	5	20260805	Frozen Geneformer	0.975	0.9862253289473684	0.0934514141204999
SLE_GSE285773_CD4	5	20260805	Mean-HVG pseudobulk	0.93125	0.9636729691876752	0.140106631484439
SLE_GSE285773_CD4	5	20260805	PCA pseudobulk	0.95	0.974342105263158	0.1481740050376092
SLE_GSE285773_CD4	6	20260806	Frozen Geneformer	0.7625000000000001	0.8780184913294181	0.2342454511878899
SLE_GSE285773_CD4	6	20260806	Mean-HVG pseudobulk	0.7374999999999999	0.8606446514012304	0.235596814362941
SLE_GSE285773_CD4	6	20260806	PCA pseudobulk	0.8937499999999999	0.928289579044854	0.1864361928695108
SLE_GSE285773_CD4	7	20260807	Frozen Geneformer	0.83125	0.9210858585858586	0.2206771418877917
SLE_GSE285773_CD4	7	20260807	Mean-HVG pseudobulk	0.84375	0.9262742854578904	0.1956375956349675
SLE_GSE285773_CD4	7	20260807	PCA pseudobulk	0.88125	0.9361787518037518	0.1834273967257518
SLE_GSE285773_CD4	8	20260808	Frozen Geneformer	0.8687500000000001	0.9351347248765728	0.2119766420382696
SLE_GSE285773_CD4	8	20260808	Mean-HVG pseudobulk	0.8875	0.941327929197995	0.1889886163204615
SLE_GSE285773_CD4	8	20260808	PCA pseudobulk	0.8375	0.926366930171278	0.2496327204043988
SLE_GSE285773_CD4	9	20260809	Frozen Geneformer	0.9	0.950103021978022	0.2115747636756938
SLE_GSE285773_CD4	9	20260809	Mean-HVG pseudobulk	0.73125	0.8570123550078793	0.2265585951843186
SLE_GSE285773_CD4	9	20260809	PCA pseudobulk	0.95	0.9756016042780749	0.1906555966811277
SLE_GSE285773_CD4	10	20260810	Frozen Geneformer	0.9375	0.9697966507177034	0.1751789656813993
