variant	stratum	control_type	draw	repeat	seed	n_donors	n_cases	roc_auc
clr_composition	dominant_wave_4	observed	0	1	20260801	89	46	0.8680485338725985
clr_composition	dominant_wave_4	observed	0	2	20260802	89	46	0.8488372093023255
clr_composition	dominant_wave_4	observed	0	3	20260803	89	46	0.8847320525783618
clr_composition	dominant_wave_4	observed	0	4	20260804	89	46	0.8301314459049546
clr_composition	dominant_wave_4	observed	0	5	20260805	89	46	0.8624873609706775
clr_composition	dominant_wave_4	observed	0	6	20260806	89	46	0.846309403437816
clr_composition	dominant_wave_4	observed	0	7	20260807	89	46	0.8766430738119312
clr_composition	dominant_wave_4	observed	0	8	20260808	89	46	0.8614762386248735
clr_composition	dominant_wave_4	observed	0	9	20260809	89	46	0.8559150657229525
clr_composition	dominant_wave_4	observed	0	10	20260810	89	46	0.865520728008089
clr_composition	dominant_wave_4	observed	0	11	20260811	89	46	0.8751263902932255
clr_composition	dominant_wave_4	observed	0	12	20260812	89	46	0.8584428715874621
clr_composition	dominant_wave_4	observed	0	13	20260813	89	46	0.8756319514661274
clr_composition	dominant_wave_4	observed	0	14	20260814	89	46	0.8311425682507583
clr_composition	dominant_wave_4	observed	0	15	20260815	89	46	0.8351870576339737
clr_composition	dominant_wave_4	observed	0	16	20260816	89	46	0.8442871587462084
clr_composition	dominant_wave_4	observed	0	17	20260817	89	46	0.7992922143579373
clr_composition	dominant_wave_4	observed	0	18	20260818	89	46	0.8599595551061678
clr_composition	dominant_wave_4	observed	0	19	20260819	89	46	0.8771486349848332
clr_composition	dominant_wave_4	observed	0	20	20260820	89	46	0.8771486349848332
clr_composition	dominant_wave_4	size_label_matched	1	1	20260801	89	46	0.9499494438827099
clr_composition	dominant_wave_4	size_label_matched	2	2	20260802	89	46	0.9221435793731041
clr_composition	dominant_wave_4	size_label_matched	3	3	20260803	89	46	0.9302325581395349
clr_composition	dominant_wave_4	size_label_matched	4	4	20260804	89	46	0.8862487360970678
clr_composition	dominant_wave_4	size_label_matched	5	5	20260805	89	46	0.8832153690596561
clr_composition	dominant_wave_4	size_label_matched	6	6	20260806	89	46	0.9236602628918099
clr_composition	dominant_wave_4	size_label_matched	7	7	20260807	89	46	0.9241658240647117
clr_composition	dominant_wave_4	size_label_matched	8	8	20260808	89	46	0.9186046511627908
clr_composition	dominant_wave_4	size_label_matched	9	9	20260809	89	46	0.8543983822042467
clr_composition	dominant_wave_4	size_label_matched	10	10	20260810	89	46	0.9261880687563195
clr_composition	dominant_wave_4	size_label_matched	11	11	20260811	89	46	0.955005055611729
clr_composition	dominant_wave_4	size_label_matched	12	12	20260812	89	46	0.8407482305358949
clr_composition	dominant_wave_4	size_label_matched	13	13	20260813	89	46	0.8554095045500505
clr_composition	dominant_wave_4	size_label_matched	14	14	20260814	89	46	0.9479271991911021
clr_composition	dominant_wave_4	size_label_matched	15	15	20260815	89	46	0.9312436804853387
clr_composition	dominant_wave_4	size_label_matched	16	16	20260816	89	46	0.8958543983822042
clr_composition	dominant_wave_4	size_label_matched	17	17	20260817	89	46	0.9474216380182002
clr_composition	dominant_wave_4	size_label_matched	18	18	20260818	89	46	0.8837209302325582
clr_composition	dominant_wave_4	size_label_matched	19	19	20260819	89	46	0.942366026289181
clr_composition	dominant_wave_4	size_label_matched	20	20	20260820	89	46	0.8513650151668352
clr_composition	pure_wave_4	observed	0	1	20260801	66	25	0.8760975609756098
