repeat	support_block	method	adjustment	n_overlap	overlap_lower	overlap_upper	roc_auc_overlap
5	cell_yield	Mean-HVG pseudobulk	unadjusted	180	0.27643041349960756	0.6556771806808702	0.9861739567621921
5	cell_yield	PCA pseudobulk	cell_yield	180	0.27643041349960756	0.6556771806808702	0.9635495223730519
5	cell_yield	PCA pseudobulk	unadjusted	180	0.27643041349960756	0.6556771806808702	0.9768728004022122
5	qc_core	Frozen Geneformer	qc_core	155	0.2557533252110917	0.6508758088450828	0.9506666666666668
5	qc_core	Frozen Geneformer	unadjusted	155	0.2557533252110917	0.6508758088450828	0.9756666666666666
5	qc_core	Mean-HVG pseudobulk	qc_core	155	0.2557533252110917	0.6508758088450828	0.985
5	qc_core	Mean-HVG pseudobulk	unadjusted	155	0.2557533252110917	0.6508758088450828	0.9894999999999999
5	qc_core	PCA pseudobulk	qc_core	155	0.2557533252110917	0.6508758088450828	0.9611666666666666
5	qc_core	PCA pseudobulk	unadjusted	155	0.2557533252110917	0.6508758088450828	0.9728333333333333
5	acquisition_structure	Frozen Geneformer	acquisition_structure	204	0.2874207604338894	0.5159365457275893	0.9702278481012658
5	acquisition_structure	Frozen Geneformer	unadjusted	204	0.2874207604338894	0.5159365457275893	0.9767088607594936
5	acquisition_structure	Mean-HVG pseudobulk	acquisition_structure	204	0.2874207604338894	0.5159365457275893	0.9863291139240506
5	acquisition_structure	Mean-HVG pseudobulk	unadjusted	204	0.2874207604338894	0.5159365457275893	0.9885569620253164
5	acquisition_structure	PCA pseudobulk	acquisition_structure	204	0.2874207604338894	0.5159365457275893	0.9755949367088608
5	acquisition_structure	PCA pseudobulk	unadjusted	204	0.2874207604338894	0.5159365457275893	0.9796455696202532
5	processing_cohort	Frozen Geneformer	processing_cohort	76	0.3097261045195554	0.6163819903929516	0.8970588235294118
5	processing_cohort	Frozen Geneformer	unadjusted	76	0.3097261045195554	0.6163819903929516	0.930672268907563
5	processing_cohort	Mean-HVG pseudobulk	processing_cohort	76	0.3097261045195554	0.6163819903929516	0.819327731092437
5	processing_cohort	Mean-HVG pseudobulk	unadjusted	76	0.3097261045195554	0.6163819903929516	0.9684873949579831
5	processing_cohort	PCA pseudobulk	processing_cohort	76	0.3097261045195554	0.6163819903929516	0.9068627450980392
5	processing_cohort	PCA pseudobulk	unadjusted	76	0.3097261045195554	0.6163819903929516	0.9467787114845939
5	demographic	Frozen Geneformer	demographic	221	0.3636829054508986	0.7091900549154163	0.9661344095455342
5	demographic	Frozen Geneformer	unadjusted	221	0.3636829054508986	0.7091900549154163	0.9720126337954027
5	demographic	Mean-HVG pseudobulk	demographic	221	0.3636829054508986	0.7091900549154163	0.9763116336199333
5	demographic	Mean-HVG pseudobulk	unadjusted	221	0.3636829054508986	0.7091900549154163	0.9854360414107738
5	demographic	PCA pseudobulk	demographic	221	0.3636829054508986	0.7091900549154163	0.9716616950342165
5	demographic	PCA pseudobulk	unadjusted	221	0.3636829054508986	0.7091900549154163	0.9789436743288297
5	combined	Frozen Geneformer	combined	49	0.2568366678356944	0.5570574744764187	0.8193979933110368
5	combined	Frozen Geneformer	unadjusted	49	0.2568366678356944	0.5570574744764187	0.8795986622073578
5	combined	Mean-HVG pseudobulk	combined	49	0.2568366678356944	0.5570574744764187	0.8712374581939799
5	combined	Mean-HVG pseudobulk	unadjusted	49	0.2568366678356944	0.5570574744764187	0.9498327759197325
5	combined	PCA pseudobulk	combined	49	0.2568366678356944	0.5570574744764187	0.8712374581939799
5	combined	PCA pseudobulk	unadjusted	49	0.2568366678356944	0.5570574744764187	0.9180602006688964
6	cell_yield	Frozen Geneformer	cell_yield	198	0.2851708913262212	0.7029779387706387	0.9499568593615185
6	cell_yield	Frozen Geneformer	unadjusted	198	0.2851708913262212	0.7029779387706387	0.9676445211389129
6	cell_yield	Mean-HVG pseudobulk	cell_yield	198	0.2851708913262212	0.7029779387706387	0.9819887834339948
6	cell_yield	Mean-HVG pseudobulk	unadjusted	198	0.2851708913262212	0.7029779387706387	0.9874892148403797
6	cell_yield	PCA pseudobulk	cell_yield	198	0.2851708913262212	0.7029779387706387	0.9605263157894737
6	cell_yield	PCA pseudobulk	unadjusted	198	0.2851708913262212	0.7029779387706387	0.9682916307161347
6	qc_core	Frozen Geneformer	qc_core	166	0.2427719260024617	0.7031455444884983	0.9457172041441705
6	qc_core	Frozen Geneformer	unadjusted	166	0.2427719260024617	0.7031455444884983	0.9765066394279878
6	qc_core	Mean-HVG pseudobulk	qc_core	166	0.2427719260024617	0.7031455444884983	0.9899314168977091
6	qc_core	Mean-HVG pseudobulk	unadjusted	166	0.2427719260024617	0.7031455444884983	0.9919743178170144
6	qc_core	PCA pseudobulk	qc_core	166	0.2427719260024617	0.7031455444884983	0.962352254487086
6	qc_core	PCA pseudobulk	unadjusted	166	0.2427719260024617	0.7031455444884983	0.9718371516124326
6	acquisition_structure	Frozen Geneformer	acquisition_structure	201	0.2949513970298145	0.518470127954218	0.974920634920635
6	acquisition_structure	Frozen Geneformer	unadjusted	201	0.2949513970298145	0.518470127954218	0.976931216931217
6	acquisition_structure	Mean-HVG pseudobulk	acquisition_structure	201	0.2949513970298145	0.518470127954218	0.9887830687830688
6	acquisition_structure	Mean-HVG pseudobulk	unadjusted	201	0.2949513970298145	0.518470127954218	0.9901587301587301
