repeat	split_seed	method	adjustment	n_donors	roc_auc	pr_auc	brier
6	20260806	PCA pseudobulk	qc_core	261	0.9185060481356777	0.9456350933559663	0.11453285674693027
6	20260806	Covariates only: acquisition_structure	acquisition_structure	261	0.6243920688365132	0.7357456445168591	0.22058462216861724
6	20260806	Frozen Geneformer	acquisition_structure	261	0.9277341314378351	0.9563904736860476	0.11304153840962174
6	20260806	Mean-HVG pseudobulk	acquisition_structure	261	0.9604688863948123	0.9775296276098158	0.07996532946548272
6	20260806	PCA pseudobulk	acquisition_structure	261	0.9463773537847612	0.9685508060214377	0.10066668951574684
6	20260806	Covariates only: processing_cohort	processing_cohort	261	0.9220289312881905	0.9406660789962165	0.10696565969260113
6	20260806	Frozen Geneformer	processing_cohort	261	0.7421124828532235	0.8378908750998746	0.20697802599510828
6	20260806	Mean-HVG pseudobulk	processing_cohort	261	0.7297044519266741	0.8152913488447683	0.2697310540949573
6	20260806	PCA pseudobulk	processing_cohort	261	0.7381219603441826	0.8511578658644331	0.20696256170873015
6	20260806	Covariates only: demographic	demographic	261	0.6629567277715425	0.7250793881430252	0.23689523758225742
6	20260806	Frozen Geneformer	demographic	261	0.9590971442823295	0.9767915177582487	0.08748918259575769
6	20260806	Mean-HVG pseudobulk	demographic	261	0.9796109240553685	0.988700257249558	0.06904164529123621
6	20260806	PCA pseudobulk	demographic	261	0.9721286943509165	0.9854173623498661	0.062077481677072
6	20260806	Covariates only: combined	combined	261	0.95149021074947	0.9716989390737287	0.08966500407220404
6	20260806	Frozen Geneformer	combined	261	0.6740865444569148	0.8046466197748925	0.228547080772936
6	20260806	Mean-HVG pseudobulk	combined	261	0.645778775408405	0.7600069938517728	0.31690371184978283
6	20260806	PCA pseudobulk	combined	261	0.6811946626761441	0.8116914258821921	0.22187263617862132
7	20260807	Frozen Geneformer	unadjusted	261	0.9663299663299663	0.9796163353165677	0.07332559259724203
7	20260807	Mean-HVG pseudobulk	unadjusted	261	0.9879037286444694	0.9926677186027194	0.04341793788701646
7	20260807	PCA pseudobulk	unadjusted	261	0.974685122833271	0.9854145478875684	0.058079898931943395
7	20260807	Covariates only: cell_yield	cell_yield	261	0.689768050879162	0.7720828265169672	0.22369949031198505
7	20260807	Frozen Geneformer	cell_yield	261	0.9128943758573388	0.9447465798773479	0.1189938993429546
7	20260807	Mean-HVG pseudobulk	cell_yield	261	0.9592842000249406	0.9683708243747997	0.07768001888549747
7	20260807	PCA pseudobulk	cell_yield	261	0.9575383464272353	0.9748178162646901	0.08605431086236884
7	20260807	Covariates only: qc_core	qc_core	261	0.733196159122085	0.8294636671177469	0.2073827139648172
7	20260807	Frozen Geneformer	qc_core	261	0.8884524254894625	0.9148813061539353	0.13640227959395207
7	20260807	Mean-HVG pseudobulk	qc_core	261	0.9325975807457288	0.9474428664538612	0.10731203102432464
7	20260807	PCA pseudobulk	qc_core	261	0.9148896371118593	0.9449788429346875	0.11911731441464475
7	20260807	Covariates only: acquisition_structure	acquisition_structure	261	0.6272914328469884	0.7397719937366571	0.22080231066419118
7	20260807	Frozen Geneformer	acquisition_structure	261	0.9211871804464397	0.952349824951412	0.11493398699316679
7	20260807	Mean-HVG pseudobulk	acquisition_structure	261	0.9587230327971069	0.9756092787379244	0.08051723379400785
7	20260807	PCA pseudobulk	acquisition_structure	261	0.9392692355655319	0.9636082516755207	0.10576537850183124
7	20260807	Covariates only: processing_cohort	processing_cohort	261	0.9135178949993765	0.929488341158583	0.1068563644522836
7	20260807	Frozen Geneformer	processing_cohort	261	0.7295797480982666	0.8373541661340349	0.2083197316064151
7	20260807	Mean-HVG pseudobulk	processing_cohort	261	0.7257762813318369	0.826742318315254	0.26999655764560987
7	20260807	PCA pseudobulk	processing_cohort	261	0.744107744107744	0.8570813659838179	0.20365679510725962
7	20260807	Covariates only: demographic	demographic	261	0.6583115101633619	0.7198770557101486	0.23728563880116316
7	20260807	Frozen Geneformer	demographic	261	0.957101883027809	0.9760962701124674	0.08582536145210283
7	20260807	Mean-HVG pseudobulk	demographic	261	0.9798603317121836	0.9886817597488509	0.07259600395718686
7	20260807	PCA pseudobulk	demographic	261	0.9688863948123208	0.9829815128983894	0.06817268746563457
