dim,mean,var,zero_frac
288,0.062446807,0.0013620814,0.0
289,-0.10191144,0.00067561795,0.0
290,0.039007083,0.0005591162,0.0
291,-0.5846397,0.0010405817,0.0
292,-0.121671185,0.0007317797,0.0
293,0.091286995,0.0010746961,0.0
294,0.0039906306,0.00056089205,0.0
295,0.11358543,0.0011143654,0.0
296,0.04322123,0.00025466463,0.0
297,0.1643031,0.0017703081,0.0
298,-0.09453498,0.00076500943,0.0
299,0.030751117,0.00086878875,0.0
300,0.034058165,0.0008461818,0.0
301,0.2267298,0.0011892411,0.0
302,-0.10676991,0.0015305824,0.0
303,-0.08326748,0.00047463394,0.0
304,0.025679812,0.00069610396,0.0
305,0.03397876,0.00042617327,0.0
306,0.19369753,0.0017376,0.0
307,-0.113355085,0.00032517058,0.0
308,-0.11901261,0.0002858545,0.0
309,-0.021276712,0.0008222686,0.0
310,-0.023571804,0.00056753826,0.0
311,-0.27712134,0.0023205988,0.0
312,-0.018947305,0.0012437556,0.0
313,0.07937198,0.00058923283,0.0
314,0.10738134,0.000544228,0.0
315,0.45515117,0.00084202056,0.0
316,0.057375886,0.00047783845,0.0
317,-0.021606842,0.0032114445,0.0
318,-0.14003856,0.00029776955,0.0
319,-0.07723922,0.0004834535,0.0
320,-0.08180095,0.00032617783,0.0
321,0.08903833,0.0018889854,0.0
322,-0.13840848,0.0004522833,0.0
323,0.035052165,0.0003768137,0.0
324,-0.13870741,0.002288929,0.0
325,-0.08190279,0.0008407168,0.0
326,0.26600775,0.00078611716,0.0
327,-0.18425857,0.00039590316,0.0
328,-0.1265027,0.00071883766,0.0
329,-0.123531476,0.00029840096,0.0
330,-0.25975102,0.0006852458,0.0
331,-0.11471859,0.0013887308,0.0
332,-0.53841835,0.0007720002,0.0
333,-0.09795964,0.0018844529,0.0
334,0.16288146,0.00045298043,0.0
335,-0.18237896,0.001496676,0.0
336,0.05151285,0.00039482897,0.0
337,-0.26653925,0.0008913365,0.0
338,-0.014261157,0.00046952002,0.0
339,-0.010504024,0.00038487877,0.0
340,0.045721717,0.0006830163,0.0
341,-0.013548099,0.00052386196,0.0
342,-0.020606516,0.0012487042,0.0
343,-0.059234176,0.0003342474,0.0
344,0.06471937,0.0010871886,0.0
345,-0.03147634,0.0005450653,0.0
346,-0.0797319,0.00043000732,0.0
347,0.09391769,0.00041307253,0.0
348,-0.04917688,0.0003635051,0.0
349,0.016657906,0.0016523338,0.0
350,-0.10439135,0.00023276001,0.0
351,-0.10633195,0.00094446633,0.0
352,-0.025961434,0.0008647322,0.0
353,0.07734543,0.0005173504,0.0
354,-0.08223398,0.0002952376,0.0
355,-0.0046952846,0.0009295802,0.0
356,-0.13260147,0.0011814601,0.0
357,-0.008880374,0.0016969194,0.0
358,-0.023924522,0.0004847242,0.0
359,0.062847294,0.00046260198,0.0
360,-0.057060625,0.00052582775,0.0
361,-0.0071144444,0.00034239158,3.5536350132550586e-06
362,-0.06210209,0.00026931768,0.0
363,0.1676934,0.00078070554,0.0
364,-0.08254358,0.00024582056,0.0
365,-0.12729365,0.00066857046,0.0
366,-0.08958674,0.0017561375,0.0
367,-0.09924411,0.0008336976,0.0
368,-0.09454136,0.0006150022,0.0
369,-0.212155,0.00035299652,0.0
370,-0.2308779,0.0017379434,0.0
371,-0.11567002,0.0006714389,0.0
372,-0.13856666,0.00068766414,0.0
373,0.04106988,0.0014130928,0.0
374,-0.038010817,0.0005649178,0.0
375,0.09645683,0.0013890791,0.0
376,0.052557558,0.000641145,0.0
377,-0.052303087,0.0014100473,0.0
378,-0.0299401,0.00039381205,0.0
379,-0.017422438,0.00032381108,0.0
380,0.12524948,0.00040113647,0.0
381,-0.055618178,0.00089579076,0.0
382,-0.14710255,0.00026199795,0.0
383,-0.12669334,0.00038059778,0.0
384,0.023174506,0.0005063437,0.0
385,-0.05351069,0.0005504112,0.0
386,-0.011030387,0.0005045991,7.107270026510117e-06
387,-0.047963794,0.0012035723,0.0
388,-0.16297656,0.0012696969,0.0
389,-0.0076940735,0.00070907973,7.107270026510117e-06
390,-0.024059111,0.0005786653,0.0
391,0.13500114,0.0004247061,0.0
392,-0.115062356,0.0017258159,0.0
393,-0.05672719,0.00038933358,3.5536350132550586e-06
394,0.111501366,0.0024713639,0.0
395,-0.10352958,0.00046656546,0.0
396,0.007593555,0.00029754548,0.0
397,0.06599078,0.0011996893,0.0
398,-0.001671976,0.000945524,3.5536350132550586e-06
399,-0.030311778,0.0011421706,0.0
400,-0.16697432,0.0018963072,0.0
401,0.018049816,0.00062189193,0.0
402,-0.095976576,0.00036003985,0.0
403,0.013678598,0.0005014866,0.0
404,0.026233751,0.0007120118,0.0
405,0.019841194,0.00064419565,0.0
406,-0.1161623,0.00036655978,0.0
407,0.15347438,0.0005429288,0.0
408,-0.013372301,0.0010255083,0.0
409,-0.04385918,0.0015917725,0.0
410,0.04819144,0.00041008304,0.0
411,0.011062234,0.00071239145,0.0
412,-0.006647682,0.00042936302,3.5536350132550586e-06
413,-0.017274994,0.0003941457,0.0
414,0.26910585,0.00064135523,0.0
415,-0.1914586,0.00044304843,0.0
416,0.1430879,0.0007911421,0.0
417,-0.08699224,0.0011362031,0.0
418,-0.07672655,0.00047210287,0.0
419,-0.08290394,0.0005739205,0.0
420,0.4275851,0.000898274,0.0
421,-0.015876241,0.0003469406,0.0
422,0.032925416,0.000998553,0.0
423,-0.120417945,0.0010882237,0.0
424,-0.112643816,0.00048725968,0.0
425,-0.25007766,0.0005564291,0.0
426,-0.14906336,0.00044419285,0.0
427,-0.115373634,0.00035882625,0.0
428,0.015242058,0.0005556181,0.0
429,0.069849,0.00045910344,0.0
430,0.086604714,0.0011458964,0.0
